actor_id,movie_id
nm0000431,tt0106469
nm0000432,tt0105695
nm0000433,tt0091445
nm0000434,tt0086190
nm0000435,tt0094291
nm0000436,tt0298203
nm0000437,tt0110632
nm0000438,tt0800308
nm0000439,tt4834206
nm0000440,tt1282224
nm0000441,tt0088323
nm0000442,tt0083658
nm0000443,tt0116242
nm0000444,tt2229499
nm0000445,tt0166924
nm0000446,tt0094074
nm0000447,tt0087507
nm0000448,tt0088247
nm0000449,tt0190138
nm0000450,tt1560747
nm0000451,tt0098554
nm0000452,tt0103512
nm0000453,tt0382932
nm0000454,tt0064276
nm0000455,tt0091042
nm0000456,tt5462602
nm0000457,tt0087803
nm0000458,tt0118929
nm0000459,tt0081283
nm0000460,tt0094964
nm0000461,tt0092099
nm0000462,tt0084293
nm0000463,tt0185371
nm0000464,tt0412019
nm0000465,tt0144117
nm0000466,tt0101700
nm0000467,tt1853728
nm0000468,tt0082398
nm0000469,tt0094898
nm0000470,tt0091042
nm0000471,tt0089424
nm0000472,tt0060345
nm0000473,tt0337741
nm0000474,tt4276820
nm0000475,tt0068069
nm0000476,tt0315327
nm0000477,tt3520702
nm0000478,tt0086793
nm0000479,tt0060028
nm0000480,tt0114194
nm0000481,tt0384537
nm0000482,tt0078740
nm0000483,tt0091203
nm0000484,tt0080455
nm0000485,tt0027652
nm0000486,tt0093629
nm0000487,tt0190332
nm0000488,tt0102915
nm0000489,tt0070917
nm0000490,tt0104797
nm0000491,tt0119887
nm0000492,tt2401878
nm0000493,tt0104348
nm0000494,tt0097165
nm0000495,tt0371246
nm0000496,tt1322269
nm0000497,tt0120586
nm0000498,tt0133189
nm0000499,tt0109506
nm0000500,tt1065073
nm0000501,tt0314123
nm0000502,tt0096874
nm0000503,tt0094331
nm0000504,tt0109068
nm0000505,tt2083355
nm0000506,tt1759761
nm0000507,tt0105793
nm0000508,tt0098844
nm0000509,tt0024188
nm0000510,tt0102070
nm0000511,tt0053604
nm0000512,tt0118688
nm0000513,tt0118749
nm0000514,tt3460252
nm0000515,tt0103919
nm0000516,tt0081859
nm0000517,tt0069762
nm0000518,tt0120744
nm0000519,tt0093223
nm0000520,tt0091474
nm0000521,tt0082100
nm0000522,tt0056758
nm0000523,tt0417148
nm0000524,tt0094006
nm0000525,tt0247638
nm0000526,tt0110367
nm0000527,tt0060424
nm0000528,tt0092797
nm0000529,tt1674771
nm0000530,tt0091790
nm0000531,tt1748122
nm0000532,tt0373883
nm0000533,tt0253754
nm0000534,tt0094608
nm0000535,tt1077258
nm0000536,tt0112178
nm0000537,tt0070511
nm0000538,tt0375912
nm0000539,tt0113481
nm0000540,tt0073768
nm0000541,tt0094715
nm0000542,tt0120004
nm0000543,tt0048545
nm0000544,tt0037295
nm0000545,tt1245526
nm0000546,tt2932536
nm0000547,tt0118749
nm0000548,tt0073273
nm0000549,tt0086034
nm0000550,tt0089901
nm0000551,tt0372532
nm0000552,tt0443489
nm0000553,tt1601913
nm0000554,tt0107822
nm0000555,tt0088847
nm0000556,tt0081777
nm0000557,tt0092644
nm0000558,tt0049223
nm0000559,tt0092007
nm0000560,tt0102713
nm0000561,tt0090939
nm0000562,tt0280707
nm0000563,tt0118688
nm0000564,tt0056172
nm0000565,tt0107983
nm0000566,tt0114319
nm0000567,tt0087803
nm0000568,tt0121765
nm0000569,tt0371746
nm0000570,tt0077928
nm0000571,tt0318997
nm0000572,tt0159206
nm0000573,tt0092342
nm0000574,tt0120179
nm0000575,tt0085333
nm0000576,tt0327056
nm0000577,tt0060177
nm0000578,tt0049233
nm0000579,tt0411477
nm0000580,tt0103893
nm0000581,tt0056937
nm0000582,tt0081398
nm0000583,tt0114069
nm0000584,tt0092718
nm0000585,tt0112178
nm0000586,tt0242653
nm0000587,tt0077651
nm0000588,tt0115639
nm0000589,tt4268054
nm0000590,tt4126972
nm0000591,tt1692486
nm0000592,tt0840361
nm0000593,tt0286788
nm0000594,tt5722298
nm0000595,tt0075393
nm0000596,tt0088846
nm0000597,tt0139414
nm0000598,tt0297884
nm0000599,tt0454841
nm0000600,tt0083907
nm0000601,tt0478311
nm0000602,tt0081283
nm0000603,tt1372686
nm0000604,tt0299658
nm0000605,tt0109446
nm0000606,tt0281364
nm0000607,tt0089791
nm0000608,tt0117765
nm0000609,tt0163988
nm0000610,tt0499549
nm0000611,tt0100666
nm0000612,tt0314331
nm0000613,tt0361217
nm0000614,tt0102798
nm0000615,tt0075596
nm0000616,tt0089941
nm0000617,tt0083630
nm0000618,tt0090756
nm0000619,tt0110912
nm0000620,tt0401792
nm0000621,tt0116253
nm0000622,tt0080408
nm0000623,tt2872718
nm0000624,tt0118364
nm0000625,tt0094582
nm0000626,tt0164085
nm0000627,tt0116191
nm0000628,tt0926129
nm0000629,tt0314331
nm0000630,tt1895587
nm0000631,tt0103074
nm0000632,tt0389790
nm0000633,tt0094137
nm0000634,tt0057012
nm0000635,tt0096486
nm0000636,tt5932378
nm0000637,tt0109035
nm0000638,tt0092007
nm0000639,tt0088847
nm0000640,tt0078788
nm0000641,tt0117438
nm0000642,tt0253754
nm0000643,tt0092099
nm0000644,tt0101587
nm0000645,tt0110622
nm0000646,tt0073972
nm0000647,tt0086491
nm0000648,tt0105812
nm0000649,tt0102803
nm0000650,tt0097742
nm0000651,tt0074285
nm0000652,tt2741602
nm0000653,tt0253754
nm0000654,tt0078346
nm0000655,tt0089560
nm0000656,tt0104691
nm0000657,tt0443272
nm0000658,tt0089755
nm0000659,tt0070903
nm0000660,tt6557704
nm0000661,tt1951265
nm0000662,tt0790686
nm0000663,tt0203975
nm0000664,tt0102685
nm0000665,tt0104040
nm0000666,tt0116594
nm0000667,tt0107653
nm0000668,tt0104454
nm0000669,tt0099810
nm0000670,tt0088763
nm0000671,tt0120324
nm0000672,tt0086154
nm0000673,tt0104952
nm0000674,tt0091326
nm0000675,tt0103772
nm0000676,tt0266915
nm0000677,tt0427969
nm0000678,tt0088011
nm0000679,tt1441912
nm0000680,tt0120856
nm0000681,tt0452594
nm0000682,tt3716530
nm0000683,tt0111732
nm0000684,tt0106145
nm0000685,tt0068473
nm0000686,tt0264464
nm0000687,tt0093105
nm0000688,tt0814335
nm0000689,tt0430634
nm0000690,tt0088930
nm0000691,tt0387575
nm0000692,tt0098257
nm0000693,tt0100502
nm0000694,tt0087884
nm0000695,tt0090424
nm0000696,tt0092005
nm0000697,tt0053604
nm0000698,tt0072431
nm0000699,tt0115632
nm0000700,tt0086425
nm0000701,tt0120338
nm0000702,tt2305051
nm0000703,tt0107290
nm0000704,tt0107034
nm0000705,tt0442933
nm0000706,tt0190332
nm0000707,tt0109040
nm0000708,tt0117331
nm0000709,tt0109830
nm0000710,tt0037008
nm0000711,tt0133152
nm0000712,tt0089218
nm0000713,tt0081900
nm0000714,tt0084945
nm0000715,tt1232829
nm0000716,tt0093894
nm0000717,tt0113097
nm0000718,tt0106308
nm0000719,tt0113819
nm0000720,tt0083466
nm0000721,tt0101026
nm0000722,tt0097733
nm0000723,tt0099701
nm0000724,tt0077745
nm0000725,tt0106677
nm0000726,tt0083178
nm0000727,tt0108636
nm0000728,tt0103432
nm0000729,tt0452623
nm0000730,tt0040369
nm0000731,tt0057547
nm0000732,tt0110413
nm0000733,tt0061138
nm0000734,tt0068687
nm0000735,tt0432260
nm0000736,tt0061578
nm0000737,tt0124315
nm0000738,tt0108968
nm0000739,tt0083412
nm0000740,tt0044009
nm0000741,tt0101120
nm0000742,tt0039431
nm0000743,tt0077405
nm0000744,tt0100403
nm0000745,tt0484207
nm0000746,tt0110367
nm0000747,tt0086465
nm0000748,tt0091738
nm0000749,tt0105665
nm0000750,tt0137494
nm0000751,tt0109303
nm0000752,tt0032976
nm0000753,tt0082707
nm0000754,tt0102945
nm0000755,tt0063850
nm0000756,tt0120770
nm0000757,tt0463850
nm0000758,tt0082242
nm0000759,tt0272338
nm0000760,tt0118480
nm0000761,tt0060827
nm0000762,tt0084157
nm0000763,tt0051221
nm0000764,tt0071054
nm0000765,tt0049778
nm0000766,tt0114863
nm0000767,tt0100263
nm0000768,tt0087182
nm0000769,tt0069097
nm0000770,tt0091217
nm0000771,tt0104466
nm0000772,tt0087032
nm0000773,tt0082883
nm0000774,tt0073580
nm0000775,tt4651520
nm0000776,tt0157583
nm0000777,tt2238050
nm0000778,tt0088011
nm0000779,tt0007761
nm0000780,tt0338135
nm0000781,tt0044287
nm0000782,tt0218581
nm0000783,tt0093677
nm0000784,tt0057076
nm0000785,tt0180339
nm0000786,tt0065760
nm0000787,tt0082405
nm0000788,tt0110367
nm0000789,tt0043208
